CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1203,M,43,79.7,27,3
1204,M,24,15.8,62,4
1205,F,27,31.6,56,2
1206,F,39,47.1,53,2
1207,F,39,42.7,66,4
1208,M,39,51.1,57,2
1209,F,66,98.9,1,1
1210,F,40,86,47,0
1211,F,44,82.6,36,3
1212,M,43,59,50,0
1213,F,40,66.6,56,0
1214,M,32,48.4,39,0
1215,M,41,94.2,30,3
1216,M,29,22.1,56,2
1217,M,33,27,43,2
1218,F,31,53.4,52,0
1219,M,36,50.5,74,4
1220,M,54,86.7,5,1
1221,F,20,22.9,59,4
1222,F,40,53.1,53,0
1223,M,22,22.2,61,4
1224,F,31,41,52,2
1225,M,44,82.8,20,3
1226,M,36,39.3,56,2
1227,M,26,30.1,50,2
1228,M,29,27.4,37,2
1229,F,40,76.1,50,0
1230,M,29,27.6,69,4
1231,F,37,45.9,51,2
1232,F,35,37.6,57,2
1233,F,30,41.8,64,4
1234,F,52,90.3,26,3
1235,M,40,65.1,51,0
1236,F,19,17.1,58,4
1237,M,36,35.8,68,4
1238,F,30,34.2,60,2
1239,F,42,66,43,0
1240,M,29,55.8,35,0
1241,M,34,34.9,59,2
1242,M,39,64.5,34,0
1243,F,42,87,26,3
1244,F,25,29.8,49,2
1245,M,32,54.3,38,0
1246,M,31,41.4,75,4
1247,M,30,39.7,67,4
1248,M,49,80.3,50,0
1249,F,38,60.8,32,0
1250,M,25,36.4,56,2
1251,M,42,71.7,26,3
1252,M,52,81.5,21,3
1253,M,43,71.5,29,3
1254,F,23,17.6,74,4
1255,M,31,37.9,51,2
1256,F,45,83.1,43,3
1257,M,29,31.1,64,4
1258,M,39,52.5,70,4
1259,F,41,76.4,22,3
1260,M,28,39.8,67,4
1261,F,35,27.6,70,4
1262,F,18,15,51,2
1263,M,27,32.9,67,4
1264,F,33,51.6,53,2
1265,F,25,23.7,58,2
1266,F,48,68.1,28,3
1267,F,24,30.8,50,2
1268,F,31,33.3,77,4
1269,F,36,37.9,54,2
1270,F,47,74.8,42,0
1271,F,24,24.3,52,2
1272,M,44,72.6,29,3
1273,M,35,28,69,4
1274,F,27,38.4,41,2
1275,M,39,63,39,0
1276,F,37,54.4,48,0
1277,F,30,27.5,60,4
1278,M,36,45.8,49,2
1279,F,32,40.1,58,2
1280,F,36,52.2,55,2
1281,F,40,90.9,39,3
1282,F,48,79.6,22,3
1283,M,25,28.3,55,2
1284,F,52,92.7,35,3
1286,F,34,49.4,36,0
1287,M,40,68.7,44,0
1288,F,37,49.9,29,0
1289,M,30,47.9,51,2
1290,M,33,45.3,71,4
1291,F,31,31.5,48,2
1292,F,30,47.8,43,0
1293,M,42,85.2,41,3
1294,F,38,47.5,34,0
1295,M,29,31,51,2
1296,M,42,78,42,0
1297,F,37,52.9,42,0
1298,F,42,71.6,36,0
1299,M,40,77.2,45,0
1300,M,28,46.6,55,2
1301,M,31,47,54,2
1302,M,41,68.1,37,0
1303,F,40,79.2,40,3
1304,F,35,37.3,53,2
1305,F,36,50.6,54,2
1306,F,45,93.2,23,3
1307,F,30,34.9,54,2
1308,M,39,46,40,0
1309,F,33,36.8,55,2
1310,F,33,33.3,48,2
1311,F,44,72.7,26,3
1312,F,42,69.3,42,0
1313,F,42,66.9,42,0
1314,M,45,84.7,39,3
1315,M,35,52.8,44,0
1316,M,40,65.2,46,0
1317,F,33,54.2,54,0
1318,M,38,55.1,51,0
1319,M,34,52,41,0
1320,F,36,42.1,54,2
1321,F,40,75,42,0
1322,F,28,24.3,60,4
1323,M,52,104.9,1,1
1324,M,27,32.6,58,2
1325,F,25,32,79,4
1326,F,44,74,33,3
1327,M,41,63.6,35,0
1328,M,40,63.8,46,0
1329,F,40,59,48,0
1330,F,35,49.3,62,2
1331,M,28,22.1,49,2
1332,F,36,54.2,55,0
1333,M,30,26.7,65,4
1334,M,43,83.6,32,3
1335,M,34,48.8,54,2
1336,M,28,27.4,69,4
1337,F,32,44.9,61,2
1338,F,38,53.1,36,0
1339,M,30,32.3,65,4
1340,M,28,24.9,59,4
1341,M,37,33.5,56,2
1342,M,37,52,49,0
1343,M,31,25.9,58,2
1344,F,31,39.2,66,4
1345,F,37,47.1,49,2
1346,F,23,29.4,46,2
1347,F,24,23.4,56,2
1348,M,29,32.2,59,2
1349,M,33,47.9,63,4
1350,M,37,51.9,54,2
1351,M,47,90.7,19,3
1352,M,42,74.6,62,0
1353,F,34,31.5,60,4
1354,M,35,51.7,62,2
1355,F,27,36.1,54,2
1356,F,35,37.5,60,2
1357,F,33,40,62,4
1358,F,38,50.7,61,2
1359,M,28,31.9,68,4
1360,F,39,55.5,55,0
1361,F,47,103.3,20,3
1362,F,34,52.5,43,0
1363,M,38,40.5,56,2
1364,M,41,78.9,45,0
1365,M,32,50.8,47,0
1366,F,37,52.3,59,2
1367,F,35,54.3,62,2
1368,M,36,63.5,35,0
1369,F,29,43,44,2
1370,M,35,47.6,49,2
1371,M,39,61.2,47,0
1372,F,47,86.7,24,3
1373,F,43,84.7,46,0
1374,F,52,87.7,29,3
1375,F,29,47.3,51,2
1376,M,42,72.2,24,3
1377,M,36,59.7,32,0
1378,M,53,86.1,28,3
1379,M,29,23.6,39,2
1380,M,28,35.9,66,4
1381,F,30,19.8,60,4
1382,M,18,20,92,4
1383,M,31,45.5,75,4
1384,M,29,30.1,56,2
1385,F,36,48.4,49,2
1386,F,38,66.6,52,0
1387,F,50,82.3,46,0
1388,F,43,70.2,22,3
1389,M,30,48.5,33,0
1390,M,28,48.7,44,0
1392,F,24,33.9,61,4
1393,M,50,102.4,32,3
1394,M,44,72.7,25,3
1395,F,31,34.5,33,2
1396,F,21,30.2,65,4
1397,F,46,92.1,20,3
1398,F,34,48.3,30,0
1399,M,45,70,39,0
1400,M,22,38.1,61,4
1401,M,30,32.4,56,2
1402,F,35,42.9,48,2
1403,F,35,48.3,49,2
1404,M,31,50.8,46,0
1405,M,40,85,21,3
1406,M,26,32.7,49,2
1407,M,34,47.5,56,2
1408,F,36,47.7,53,2
1409,M,39,57.3,47,0
1410,M,41,46.5,39,0
1411,M,26,27,57,2
1412,M,23,25.9,37,2
1413,M,45,71.9,39,0
1414,M,38,54.1,61,2
1415,M,29,33.2,42,2
1416,F,47,82.7,25,3
1417,F,36,60,49,0
1418,F,44,69.8,51,0
1419,F,36,46.2,46,2
1420,M,51,91.4,18,3
1421,F,49,89.1,7,1
1422,F,33,43.6,53,2
1423,M,43,73.7,58,0
1424,M,40,68.6,43,0
1425,F,46,92,28,3
1426,F,27,36.2,59,2
1427,M,40,66.9,41,0
1428,F,43,82.5,25,3
1430,M,26,31.4,59,2
1431,M,19,23.4,58,2
1432,M,33,41.7,43,2
1433,F,41,74.2,51,0
1434,M,47,78.7,39,3
1435,M,36,45.8,45,2
1436,F,48,82.6,40,3
1437,M,24,19.8,56,2
1438,F,21,19,53,2
1439,F,35,33.2,49,2
1440,F,38,47.1,32,0
1441,M,35,43.3,57,2
1442,F,18,15,43,2
1443,F,34,41.9,41,2
1444,M,25,27.1,38,2
1445,F,40,70,39,0
1446,F,38,58,44,0
1447,F,27,26,56,2
1448,F,31,28.8,48,2
1449,F,27,22.9,49,2
1450,M,34,39.9,58,2
1451,F,43,64.9,35,0
1452,F,27,25,63,4
1453,M,39,42.4,43,2
1454,M,31,34.8,58,2
1455,M,29,36.3,68,4
1456,F,34,48.6,56,2
1457,M,27,26.7,55,2
1458,F,31,35.1,59,2
1459,F,25,20.2,59,4
1460,M,51,90.2,25,3
1461,M,35,38.8,51,2
1462,F,29,39.4,53,2
1463,M,37,34.9,57,2
1464,F,34,40.9,43,2
1465,M,33,44.4,42,0
1466,M,40,80.6,22,3
1467,M,41,92.6,15,3
1468,F,31,41.2,41,2
1469,M,30,28.6,60,4
1470,F,33,41.2,44,2
1471,F,18,15,66,4
1472,F,23,23.4,60,4
1473,F,46,76.3,15,3
1474,M,48,83.4,37,3
1475,F,33,37.6,63,4
1476,F,40,66.3,32,0
1477,M,37,44.1,56,2
1478,F,60,127.6,1,1
1479,M,44,78.7,36,3
1480,F,34,58.5,34,0
1481,M,27,37.7,37,2
1482,F,22,26.1,54,2
1483,M,37,52.1,47,0
1484,F,29,38,51,2
1485,F,24,15,51,2
1486,M,30,34.4,52,2
1487,M,26,36.2,58,2
1488,M,48,82.5,30,3
1489,M,42,58.7,45,0
1490,F,35,45.2,45,2
1491,F,47,98,37,3
1492,M,36,57.4,35,0
1493,F,28,32.5,62,4
1494,M,47,89.3,40,3
1495,M,39,49.9,53,2
1496,F,27,17.6,61,4
1497,F,33,34.6,51,2
1498,F,28,45.5,62,2
1499,F,24,23.6,46,2
1500,F,42,68.2,30,3
1501,F,50,87,23,3
1502,F,24,41,65,4
1503,M,40,83.2,39,3
1504,M,30,54.4,39,0
1505,M,31,37.1,52,2
1506,M,30,39,48,2
1507,M,28,20.9,54,2
1508,F,35,57.4,56,0
1509,M,28,23.7,47,2
1510,M,37,50.9,65,4
1511,M,35,36.8,63,4
1512,M,33,37.3,66,4
1513,M,28,26.3,55,2
1514,M,30,31.7,56,2
1515,M,41,69.2,26,3
1516,F,39,48.4,44,0
1517,F,27,37.9,60,2
1518,M,36,38.6,67,4
1519,F,41,77.8,25,3
1520,F,22,31.9,52,2
1521,F,39,48.7,47,0
1522,F,30,30.9,44,2
1523,M,40,66.5,47,0
1524,F,29,44.2,45,2
1525,F,21,22,58,4
1526,F,22,18,57,2
1527,M,35,49.5,42,0
1528,M,37,40.4,53,2
1529,M,28,38.5,52,2
1530,M,40,79.4,33,3
1531,M,22,19.7,54,2
1532,M,34,37.1,58,2
1533,M,25,20.5,78,4
1534,F,30,40.9,55,2
1535,F,35,55.4,57,2
1536,F,28,27.9,45,2
1537,M,32,43.9,54,2
1538,M,43,56.8,33,0
1539,M,30,31.9,42,2
1540,M,42,79.5,28,3
1541,M,26,22.1,73,4
1543,F,47,75.8,36,3
1544,M,18,17.3,45,2
1545,M,29,33.3,55,2
1546,M,40,56.5,48,0
1547,M,33,25,62,4
1548,F,38,46.1,32,0
1549,M,30,40.3,45,2
1550,M,36,25.4,58,2
1551,M,34,39.8,59,2
1552,M,44,68.5,17,3
1553,F,37,60.3,43,0
1554,M,38,47.9,51,2
1555,M,32,43.3,61,2
1556,F,31,39.5,61,2
1557,F,32,23.2,66,4
1558,F,38,57.1,38,0
1559,M,32,41.9,34,0
1560,M,37,53.3,44,0
1561,F,52,120.8,22,1
1562,F,42,55.2,59,2
1563,F,32,54,55,2
1564,F,45,79.1,38,3
1565,F,32,42.5,57,2
1566,F,19,16.4,55,2
1567,M,27,27.8,57,2
1568,M,20,15,79,4
1569,M,32,42.8,43,2
1570,F,35,33.5,72,4
1571,F,48,92.2,23,3
1572,F,38,47.7,63,4
1573,F,33,33,43,2
1574,F,42,63.6,48,0
1575,F,18,25.1,50,2
1576,M,37,44.9,37,0
1577,M,41,85.4,36,3
1578,F,23,18.2,72,4
1579,M,44,85.4,23,3
1580,F,38,56.5,31,0
1581,M,32,55,47,0
1582,F,40,64.3,41,0
1583,F,53,95.2,27,3
1584,M,36,48.2,59,2
1585,M,37,59.6,45,0
1586,F,31,32.6,75,4
1587,F,28,39,57,2
1588,M,42,66.3,37,0
1589,M,28,32.5,41,2
1590,F,36,48.1,47,0
1591,M,31,40.4,50,2
1592,F,39,51.9,57,2
1594,F,43,93.1,18,3
1595,F,31,46.3,53,2
1596,M,33,49,57,2
1597,M,27,27.6,74,4
1598,M,31,31.3,66,4
1599,M,38,58.6,53,0
1600,M,41,91.6,32,3
1601,M,28,44.8,56,2
1602,M,42,69.6,52,0
1603,F,46,80.9,19,3
1604,M,38,37.9,50,2
1605,M,50,85,20,3
1606,F,29,42.8,57,2
1607,M,25,23.9,72,4
1608,M,21,25.5,52,2
1609,F,47,79,9,3
1610,M,40,75.3,34,3
1611,M,35,36.4,64,4
1612,M,37,49.9,54,2
1613,F,26,15,68,4
1614,M,55,100.7,14,1
1615,M,36,34.4,43,2
1616,F,36,57,52,0
1617,M,41,83.9,26,3
1618,F,39,56.5,68,4
1619,F,37,61.4,50,0
1620,M,29,27.2,53,2
1621,F,39,66.8,36,0
1622,F,50,84.4,27,3
1623,M,46,94.2,25,3
1624,F,48,98.4,35,3
1625,F,31,29.5,60,4
1626,M,27,24.6,53,2
1627,M,34,38.9,73,4
1628,M,35,41.4,53,2
1629,F,44,71.6,45,0
1630,M,21,30.2,50,2
1631,F,47,80.6,36,3
1632,F,34,46.6,54,2
1633,F,32,35.6,37,2
1634,F,27,16.6,83,4
1635,F,22,24.4,72,4
1636,F,42,60.9,39,0
1637,F,36,46.9,39,0
1638,M,25,16.7,66,4
1639,M,25,43.5,53,2
1640,F,32,47.5,54,2
1641,F,48,82.9,32,3
1642,M,33,52.1,54,2
1643,F,23,17.2,77,4
1644,M,33,46.3,57,2
1645,M,33,43.6,42,2
1646,M,18,17.1,74,4
1647,F,35,55.8,64,2
1648,F,33,47.9,82,4
1649,M,41,78,25,3
1650,M,50,79.1,33,3
1651,M,44,71.7,17,3
1652,M,33,41,59,2
1653,M,26,30.1,52,2
1655,M,35,64.9,36,0
1656,F,35,57.7,30,0
1657,M,35,50.4,45,0
1658,F,37,49.8,29,0
1659,F,34,42.1,60,2
1660,F,30,29,38,2
1661,F,31,39,55,2
1662,F,35,47.7,30,0
1663,F,31,28.5,55,2
1664,M,29,37.5,71,4
1665,F,36,46.2,54,2
1666,M,33,26.7,51,2
1667,F,47,74.6,34,3
1668,F,18,15,61,4
1669,M,44,90.4,35,3
1670,F,45,73.6,22,3
1671,M,18,15,67,4
1672,M,32,44.1,25,0
1673,M,32,27.8,53,2
1674,M,24,34.5,51,2
1675,F,29,31,64,4
1676,F,26,28.7,58,2
1677,M,49,92.6,12,1
1678,F,42,59.1,34,0
1679,F,45,62.7,42,0
1680,M,41,70.9,38,0
1681,F,26,37.7,49,2
1683,M,39,30.1,63,4
1684,F,25,24,55,2
1685,F,41,69.6,39,0
1686,F,33,51.6,71,4
1687,M,32,36.5,41,2
1688,M,41,74.9,19,3
1689,F,39,62,51,0
1691,F,44,74.6,33,3
1692,F,26,30.9,50,2
1693,M,40,79.4,34,3
1694,F,40,66.6,57,0
1695,M,33,42.3,61,2
1696,M,38,31.1,65,4
1697,F,25,22.3,46,2
1698,F,42,79.2,24,3
1700,M,31,38.9,46,2
1701,F,43,92.4,39,3
1702,F,29,32.1,62,4
1703,M,24,27.2,56,2
1704,F,23,16.3,62,4
1705,M,40,59.1,37,0
1706,F,25,32.5,59,2
1707,M,49,85,36,3
1708,F,18,15,45,2
1709,F,49,88.4,30,3
1710,M,37,54.9,56,2
1711,M,34,27.4,55,2
1712,F,31,47.7,58,2
1713,M,38,48.3,78,4
1714,M,35,49,49,2
1715,M,44,87.2,35,3
1716,M,36,36.4,47,2
1717,F,36,41.7,54,2
1718,F,32,37.9,59,2
1719,M,35,39.3,56,2
1720,M,37,63.1,34,0
1721,M,21,15,64,4
1722,M,24,21.4,75,4
1723,F,41,77.4,41,0
1724,F,36,37.8,64,4
1725,M,34,40.6,51,2
1726,M,35,48.1,58,2
1727,M,38,48.3,52,2
1728,F,31,37.7,45,2
1729,M,29,30.6,61,4
1730,F,37,37.1,44,2
1731,M,27,33.8,50,2
1732,F,38,65,45,0
1733,M,21,20.5,63,4
1734,F,43,83.9,21,3
1735,M,39,58.3,56,0
1736,M,37,39,59,2
1737,M,43,94.8,22,3
1738,F,48,86.1,14,3
1739,M,43,89,30,3
1740,F,20,15,58,4
1741,F,25,42.1,54,2
1742,M,30,42.8,49,2
1743,M,35,50,29,0
1744,M,39,54.7,43,0
1745,F,29,32.8,54,2
1746,M,36,57,53,0
1747,F,29,35.9,49,2
1748,F,30,20.9,78,4
1749,M,24,16.9,43,2
1750,M,36,45.9,64,4
1751,M,40,66,39,0
1752,M,63,95.5,19,3
1753,M,36,57.2,47,0
1754,M,53,75.1,41,0
1755,F,48,92.4,23,3
1756,F,59,90.9,6,1
1757,F,76,125.5,1,1
1758,M,63,95.2,9,1
1759,F,31,41.8,55,2
1760,F,20,15,74,4
1761,F,34,54,38,0
1762,F,55,108.3,20,1
1763,F,21,25.1,52,2
1764,M,49,77,31,3
1765,M,55,105.3,16,1
1766,F,39,47.1,35,0
1767,F,66,108.2,1,1
1768,F,25,40.8,67,4
1769,M,23,32.6,65,4
1770,M,63,90.2,12,1
1771,F,49,96.9,26,3
1772,M,61,82.1,15,3
1774,F,33,45.6,50,2
1775,M,69,91.8,5,1
1776,M,68,95.7,14,1
1777,F,61,90.1,7,1
1778,M,35,43.2,68,4
1779,M,55,81.9,9,3
1780,F,40,76.4,54,0
1781,M,24,27.8,54,2
1782,M,75,116,1,1
1783,F,26,23.4,41,2
1784,F,77,129.6,1,1
1785,F,46,92.7,17,3
1786,M,29,30.9,52,2
1787,F,52,90.2,23,3
1788,M,72,116.1,1,1
1789,F,63,93.1,13,1
1790,M,68,103.9,3,1
1791,F,59,112.5,1,1
1792,F,61,77.1,11,3
1793,F,71,120.9,6,1
1794,F,33,42.6,45,2
1795,M,48,84.3,46,0
1796,F,32,39.5,52,2
1797,F,79,124.5,1,1
1798,M,77,107.4,1,1
1799,F,20,30.6,68,4
1800,M,62,94.5,11,1
1801,F,75,121.1,1,1
1802,F,29,42.4,52,2
1803,F,53,92.6,26,3
1804,M,75,121.4,1,1
1805,F,20,16.5,61,4
1806,F,61,99.2,17,1
1807,F,36,30.4,74,4
1808,M,75,116.8,1,1
1809,M,78,118.2,1,1
1810,F,77,124.7,1,1
1811,M,47,93.4,1,1
1812,F,71,104.7,1,1
1813,F,70,102.9,1,1
1814,F,38,50.1,44,0
1815,F,69,99.6,2,1
1816,F,20,25.3,57,2
1817,F,55,102,28,3
1818,F,32,16.9,64,4
1819,M,25,24.6,52,2
1820,M,23,15.7,73,4
1821,M,61,79.3,17,3
1822,M,39,42.9,56,2
1823,M,63,96.9,5,1
1824,M,22,32.8,49,2
1825,M,38,53.5,48,0
1826,F,51,79,30,3
1827,F,67,106.8,5,1
1828,F,38,47.3,47,2
1829,F,57,100.3,1,1
1830,M,73,104.8,1,1
1831,M,56,79.3,33,3
1832,F,32,37.1,52,2
1833,F,20,19.9,58,4
1834,M,72,111.4,1,1
1835,F,19,15,54,2
1836,F,72,104.6,1,1
1837,F,51,93.9,22,3
1838,F,76,108.9,1,1
1839,M,68,111.2,1,1
1840,F,80,118.6,1,1
1841,F,40,74,43,0
1842,M,66,89.7,8,1
1843,M,43,71.9,41,0
1844,F,48,101.9,41,3
1845,M,57,104.4,10,1
1846,F,72,120,1,1
1847,F,79,129,1,1
1848,M,66,92.6,1,1
1849,F,44,81,28,3
1850,F,44,59.5,37,0
1851,F,64,108.4,7,1
1852,F,33,32.4,80,4
1853,M,25,34.7,48,2
1854,M,40,74.6,34,3
1855,F,36,62,44,0
1856,M,36,44.1,56,2
1857,F,32,45.9,54,2
1858,F,21,38.7,66,4
1859,F,19,15,37,2
1860,F,79,112.5,1,1
1861,F,45,60.3,36,0
1862,M,42,81,46,0
1863,F,60,90.6,1,1
1864,M,32,37.2,25,0
1865,M,77,124.7,1,1
1866,F,67,104.7,3,1
1867,F,24,29.2,47,2
1868,F,44,82.2,23,3
1869,F,73,124.2,1,1
1870,F,77,113.6,1,1
1871,M,47,79.1,26,3
1872,F,56,99.6,22,3
1873,F,28,39.6,26,0
1874,M,79,132,1,1
1875,M,32,43.8,41,0
1876,F,76,128.9,1,1
1877,M,58,95.6,11,1
1878,F,56,116.1,18,1
1879,M,50,97.5,4,1
1880,M,32,46.1,52,2
1881,F,29,49.1,56,2
1882,M,32,26.9,78,4
1883,M,30,32.4,52,2
1884,M,66,95.5,9,1
1885,M,40,74.1,20,3
1886,M,22,15,39,2
1887,M,78,129.1,1,1
1888,F,73,125,1,1
1889,F,76,125,1,1
1890,M,80,128.9,1,1
1892,F,43,75.3,55,0
1893,F,65,109.6,6,1
1894,M,61,98.6,14,1
1895,F,28,32.7,57,2
1896,M,69,103.5,1,1
1897,F,32,24,74,4
1898,M,32,31.6,51,2
1899,M,51,109.2,23,3
1900,F,55,80.3,10,3
1901,F,54,100,7,1
1902,M,24,33.9,70,4
1903,F,72,102.2,1,1
1904,F,34,45.3,66,4
1905,F,26,36.9,54,2
1906,M,73,114.1,1,1
1907,M,77,144.1,1,1
1908,F,71,97.1,1,1
1909,F,68,113.5,3,1
1910,F,59,110.5,9,1
1911,M,52,97.9,6,1
1912,M,23,27.5,60,4
1913,F,43,62.5,64,0
1914,F,41,72.3,44,0
1915,F,34,28.9,58,2
1916,F,63,100.8,19,3
1917,F,49,95.7,27,3
1918,F,23,29.1,59,2
1919,M,32,48.7,40,0
1920,F,60,102.3,13,1
1921,M,23,25.2,69,4
1922,F,71,103.4,1,1
1923,F,49,78,46,0
1924,M,48,80.5,30,3
1925,M,55,109.1,5,1
1926,M,69,104.9,8,1
1927,M,40,72,36,0
1928,F,60,104.5,18,1
1929,M,53,97,18,3
1930,F,35,50.9,49,0
1931,M,72,127.7,1,1
1932,F,67,96.2,7,1
1933,F,59,102.4,1,1
1934,F,71,112.3,1,1
1935,F,72,117.4,1,1
1937,F,70,101.6,1,1
1938,M,61,99.5,1,1
1939,F,60,111.5,1,1
1940,M,56,85.6,2,1
1941,M,65,110.4,1,1
1942,F,28,42.4,47,2
1943,M,73,115.1,1,1
1944,F,72,112.8,1,1
1945,M,20,23,62,4
1946,F,69,99.9,21,3
1947,M,26,29.6,43,2
1948,F,39,35.6,66,4
1949,F,64,104.8,15,1
1950,F,28,20.5,54,2
1951,F,69,118.8,1,1
1952,M,70,106,1,1
1953,F,49,82.8,32,3
1954,M,18,15,76,4
1955,M,36,45.1,57,2
1956,M,56,118.4,14,1
1957,F,79,104.9,1,1
1958,M,57,110.8,1,1
1959,M,34,46.5,49,2
1960,M,57,86.4,33,3
1961,F,51,83.4,13,3
